batch_size,sequence_length,model_dimension,precision,is_causal,device,O_diff_l2,O_diff_max,K_grad_diff_l2_rel,K_grad_diff_max,V_grad_diff_l2_rel,V_grad_diff_max,Q_grad_diff_l2_rel,Q_grad_diff_max
1,1024,32,torch.bfloat16,False,cuda,0.021154845133423805,0.0008329451084136963,0.0013427734375,0.0078125,0.0004673004150390625,0.0078125,0.0025634765625,0.0009765625
1,1024,32,torch.float16,True,cuda,0.005826499313116074,0.0005173683166503906,0.00017821788787841797,0.001953125,5.3048133850097656e-05,0.0009765625,0.00032401084899902344,0.0009765625
1,1024,32,torch.float16,False,cuda,0.0026986999437212944,0.00010317564010620117,0.0001615285873413086,0.0009765625,7.408857345581055e-05,0.0009765625,0.0003113746643066406,0.000244140625
1,1024,32,torch.float32,True,cuda,0.02676216885447502,0.001893758773803711,0.0016946792602539062,0.00723719596862793,0.00040746430750004947,0.0035958290100097656,0.001621923758648336,0.0017781853675842285
1,1024,32,torch.float32,False,cuda,0.014590967446565628,0.0005268454551696777,0.0017880569212138653,0.003930807113647461,0.00041446296381764114,0.0015447139739990234,0.0019537191838026047,0.0007552802562713623
1,1024,128,torch.bfloat16,True,cuda,0.0873350128531456,0.005619168281555176,0.00213623046875,0.015625,0.001220703125,0.03125,0.0027313232421875,0.0078125
1,1024,128,torch.bfloat16,False,cuda,0.04092768579721451,0.0009664595127105713,0.00177001953125,0.00390625,0.0005035400390625,0.0078125,0.0025482177734375,0.001953125
1,1024,128,torch.float16,True,cuda,0.010645768605172634,0.0005941390991210938,0.0002532005310058594,0.001953125,0.00012129545211791992,0.00390625,0.0003333091735839844,0.0009765625
1,1024,128,torch.float16,False,cuda,0.0050882259383797646,8.559226989746094e-05,0.00022530555725097656,0.00048828125,9.500980377197266e-05,0.0009765625,0.00032973289489746094,0.000244140625
1,1024,128,torch.float32,True,cuda,0.053315553814172745,0.0024352073669433594,0.0016873313579708338,0.007458686828613281,0.00037324728327803314,0.0033540725708007812,0.001638196175917983,0.002521991729736328
1,1024,128,torch.float32,False,cuda,0.030292503535747528,0.00150984525680542,0.0018104295013472438,0.0021877288818359375,0.0003774664655793458,0.0011527538299560547,0.0018859236733987927,0.0013826489448547363
1,2048,32,torch.bfloat16,True,cuda,0.047981541603803635,0.004015922546386719,0.00138092041015625,0.015625,0.000537872314453125,0.015625,0.0026092529296875,0.0078125
1,2048,32,torch.bfloat16,False,cuda,0.020994579419493675,0.0005699843168258667,0.00112152099609375,0.00390625,0.000484466552734375,0.0078125,0.00262451171875,0.0009765625
1,2048,32,torch.float16,True,cuda,0.005865377839654684,0.0007131099700927734,0.00016939640045166016,0.001953125,8.165836334228516e-05,0.001953125,0.0003325939178466797,0.00048828125
1,2048,32,torch.float16,False,cuda,0.0026361586060374975,6.812810897827148e-05,0.0001506805419921875,0.0009765625,6.502866744995117e-05,0.0009765625,0.0003349781036376953,0.0001220703125
1,2048,32,torch.float32,True,cuda,0.030360277742147446,0.0022361278533935547,0.0017691028770059347,0.008530139923095703,0.00041648285696282983,0.00424957275390625,0.0017784112133085728,0.0028009414672851562
1,2048,32,torch.float32,False,cuda,0.015527372248470783,0.0006519407033920288,0.001838745316490531,0.0045272111892700195,0.0004191850603092462,0.0018996000289916992,0.0020871597807854414,0.0014423131942749023
1,2048,128,torch.bfloat16,True,cuda,0.09320112317800522,0.004792451858520508,0.0018310546875,0.015625,0.000629425048828125,0.015625,0.0025634765625,0.00390625
1,2048,128,torch.bfloat16,False,cuda,0.04159937798976898,0.0005995333194732666,0.00153350830078125,0.00390625,0.0004138946533203125,0.0078125,0.00262451171875,0.0009765625
1,2048,128,torch.float16,True,cuda,0.011691671796143055,0.0006401538848876953,0.00022494792938232422,0.001953125,9.387731552124023e-05,0.00390625,0.00032806396484375,0.00048828125
1,2048,128,torch.float16,False,cuda,0.005236854311078787,0.00012063980102539062,0.00019025802612304688,0.00048828125,6.282329559326172e-05,0.0009765625,0.00032591819763183594,0.0001220703125
1,2048,128,torch.float32,True,cuda,0.0591714084148407,0.0030242204666137695,0.0017593532102182508,0.008497238159179688,0.00037688901647925377,0.0035414695739746094,0.0017137718386948109,0.0027256011962890625
1,2048,128,torch.float32,False,cuda,0.030064549297094345,0.0012066662311553955,0.0018225989770144224,0.0023103952407836914,0.00037387877819128335,0.0009791851043701172,0.0019395174458622932,0.0015766024589538574
1,4096,32,torch.bfloat16,True,cuda,0.050152409821748734,0.003862738609313965,0.0011749267578125,0.03125,0.000522613525390625,0.03125,0.002716064453125,0.00390625
1,4096,32,torch.bfloat16,False,cuda,0.02152973599731922,0.00044414401054382324,0.00099945068359375,0.0078125,0.0004100799560546875,0.0078125,0.0027008056640625,0.0009765625
